Name,Rating,Address
Kapoor's Cafe - KR Puram,3.9(877),"44/2, Old Madras Rd, near subregistrar office, Chikkabasavanapura, Krishnarajapuram, Bengaluru, Karnataka 560036"
Kolkata spicy family restaurant,3.3(165),"XMVP+X43, Kamadhenu Nagar, B Narayanapura, Mahadevapura, Bengaluru, Karnataka 560016"
SRI DURGA UPAHARA,4.2(217),"116-1, ITPL Main Rd, Kamadhenu Nagar, B Narayanapura, Mahadevapura, Bengaluru, Karnataka 560048"
Go Native Whitefield,"4.5(2,195)","No 36 Whitefield Main Rd Dyavasandra Industrial Area, near Airbus, Garudachar Palya, Mahadevapura, Bengaluru, Karnataka 560048"
Swathi Tiffin center,4.2(239),"62, 6th Main Rd, Saraswathi Nagar, B Narayanapura, Mahadevapura, Bengaluru, Karnataka 560048"
Ns Pure Veg,4.3(39),"Temple Parking, Maheswari Nagar, Chinappa Layout, Mahadevapura, Bengaluru, Karnataka 560093"
Buffalo Wild Wings Phoenix Marketcity,"4.4(2,216)","Level 2, Phoenix Marketcity, Whitefield Main Rd, Devasandra Industrial Estate, Mahadevapura, Bengaluru, Karnataka 560048"
The Yard,4.4(668),"22/A, Doddanakundi Industrial Area 2, Phase 1, Doddanekkundi, Bengaluru, Karnataka 560048"
B'KITCHENN Naati Style,4.3(239),"113, 11, Garudachar Palya, Mahadevapura, Bengaluru, Karnataka 560048"
California Burrito Mexican Kitchen @ Bagmane WTC,4.5(762),"Bagmane World Technology Center, Mahadevapura, Krishnarajapuram, Bengaluru, Karnataka 560037"
Muscat kitchen,4.4(226),"No.15, Vivekananda Layout, Opposite Innovative Multiplex, near Biryani Zone, Marathahalli, , Hyderabadi Dum Biryani Restaurant, Marathahalli, Bengaluru, Karnataka 560037"
North Rasoi by Chef Pillai Whitefield Bengaluru,4.2(810),"E 1/94, Opp:, Phoenix Market, Whitefield Rd, Mahadevapura Layout, RHB Colony, Mahadevapura, Bengaluru, Karnataka 560048"
Jodhpur Jilebi,4.2(281),"XMGV+2HQ, Doddanekundi Main Rd, Pragathi Layout, Doddanekundi, Doddanekkundi, Bengaluru, Karnataka 560037"
Chandan Bar & Restaurant,3.4(51),"XMQJ+GJ8, Udayanagar,Vijinapura Udayanagar Main Road Duravani Nagar, Bangalore Corporation Industrial Estate, Mahadevapura, Bengaluru, Karnataka 560093"
Naidu's Nati Style Restaurant,4.3(74),"463/2, Old Madras Rd, near Old Syndicate Bank, Devasandra, Krishnarajapura, Bengaluru, Karnataka 560036"
Kerala Restaurant,"3.6(1,093)","Graphite India, Junction, ITPL Main Rd, behind Indian oil Petrol Bunk, KIADB Export Promotion Industrial Area, Mahadevapura, Bengaluru, Karnataka 560048"
Sudha Bar & Restaurant,4.0(193),"ITPL Main Rd, Maheswari Nagar, B Narayanapura, Mahadevapura, Bengaluru, Karnataka 560016"
The Whitefield Arms,"4.2(3,277)","VR Bengaluru, Whitefield Main Rd, Devasandra Industrial Estate, Mahadevapura, Bengaluru, Karnataka 560048"
California Burrito Mexican Kitchen @ Bagmane Constellation,4.3(867),"Ferns City, Doddanekkundi, Bengaluru, Karnataka 560048"
46 Ounces Old Madras Road,"4.6(1,168)","No 3, RMZ Infinity, Old Madras Rd, opposite GOPALAN GRAND MALL, Sadanandanagar, Bennigana Halli, Bengaluru, Karnataka 560016"
Hyderabad Biryani Multicuisine Restaurant,3.7(853),"Office, 30, 3rd Cross Rd, near Mahadevapura Post, Singayyanapalya, Mahadevapura, Bengaluru, Karnataka 560048"
The Shawarma Man,4.5(297),"Ferns City, Doddanekkundi, Bengaluru, Karnataka 560037"
RANTHAL CAFE,3.7(40),"Doddanekundi, Mahadevapura, Bengaluru, Karnataka 560037"
Panoor Restaurant,4.4(22),"XMHW+P2X, Doddanekundi Flyover, Ferns City, Doddanekkundi, Bengaluru, Karnataka 560048"
WOW China,,"1st Flr, Bagmane IT Park, Virgo, 4, Gr, &, BBMP East, Doddanekundi, Mahadevapura, Bengaluru, Karnataka 560048"
Kabab Magic,"3.6(5,012)","39/5, Outer Ring Rd, Ferns City, Doddanekundi, Mahadevapura, Bengaluru, Karnataka 560037"
Bengaluru Bites,3.2(189),"K R Puram, Railway Station, Dooravani Nagar, Bengaluru, Karnataka 560016"
Durga family mess,4.2(25),"XMMJ+629, 20th Cross Rd, Abbaiah Reddy Layout, Kaggadasapura, Bengaluru, Karnataka 560093"
Sudha Bar & Restaurant,2.5(12),"No. 2/33, 1st Floor, Mahadevpura, Doddanekundi Main Rd, Post, Doddanekkundi, Bengaluru, Karnataka 560037"
Lunch Box Doddanekundi,2.5(12),"No. 2/33, 1st Floor, Mahadevpura, Doddanekundi Main Rd, Post, Doddanekkundi, Bengaluru, Karnataka 560037"
SPICE N GRILL,4.0(444),"Bagmane Tech Park Back Gate, 132, 7th Cross St, Byrasandra, Mahadevapura, Bengaluru, Karnataka 560093"
Sindhoora Gardenia Restaurant & Party Hall,4.6(779),"Metro station, Near KR Pura, Dooravani Nagar, Bengaluru, Karnataka 560016"
The Punjabi Park,3.6(288),"#5,1st Cross, ITPL Main Rd, RHB Colony, Mahadevapura, Bengaluru, Karnataka 560048"
Cafe Grill [B-Narayanapura],4.1(479),"Shop no 2 & 3, Ground floor, PWD Rd, B K Abbaiah Layout, B Narayanapura, Dooravani nagar, Bengaluru, Karnataka 560016"
The Andhra Grand,4.2(34),"10/1A, Hoodi Village, Hobli, Krishnarajapuram, Bengaluru, Karnataka 560036"
JNR Bar & Restaurant,3.5(58),"XMQQ+HFC, Mahadevapura, Bengaluru, Karnataka 560048"
Naga's Phoenix,3.5(386),"XMXW+3QM, Devasandra Industrial Estate, Krishnarajapuram, Bengaluru, Karnataka 560048"
Barbeque Nation Phoenix Marketcity,"3.9(1,472)","1st floor, Phoenix Marketcity, Whitefield Main Rd, Devasandra Industrial Estate, Mahadevapura, Bengaluru, Karnataka 560048"
Eat India Co,4.7(273),"Whitefield Main Road, Devasandra Industrial Estate, Mahadevapura, Bengaluru, Karnataka 560048"
"Domino's Pizza | Mahadevapura, Bengaluru","3.8(2,541)","Soul Space Arena, Shop/Unit No. 1, Ground, Outer Ring Road, Akme Ballet Rd, Doddanekundi, Mahadevapura, Bengaluru, Karnataka 560037"
"Domino's Pizza | K.R. Puram, Bengaluru",3.9(245),"Food Court counter No. 1 Ground floor ONYX amenities building Bagmane World Technology center (SEZ, Outer Ring Rd, Mahadevapura, Bengaluru, Karnataka 560048"
ARAFA RESTAURANT,4.0(12),"Garudachar Palya, Mahadevapura, Bengaluru, Karnataka 560048"
Batlee Bar,4.2(84),"Sarovar Portico Outer Ring Road, 39/5, Doddanekundi Main Rd, opposite RBD Icon, Bengaluru, Karnataka 560037"
Bagmane Food Court,4.1(15),"XMPV+9MG, Laxmi Sagar Layout, Mahadevapura, Bengaluru, Karnataka 560048"
Nellore Ruchulu,3.9(108),"97/2, Oppo.Kalyan Jewellers, TNB Layout, adjacent to Allensolly, Marathahalli, Bengaluru, Karnataka 560037"
Chavang Restaurant,4.5(50),"2nd Main Rd, Singayyanapalya, Mahadevapura, Bengaluru, Karnataka 560048"
Paris Restaurant,3.8(122),"Aswath Nagar, Marathahalli, Bengaluru, Karnataka 560037"
Aroma Family Restaurant & Bar,"3.8(1,207)","#13, Swami Vivekananda Rd, Krishnarajapuram, Bengaluru, Karnataka 560036"
